"Date","Price","Open","High","Low","Vol.","Change %"
"07/29/2024","2,348.48","2,352.51","2,359.98","2,343.40","3.37B","-0.29%"
"07/26/2024","2,355.32","2,364.91","2,368.27","2,341.45","4.05B","-0.61%"
"07/25/2024","2,369.72","2,384.64","2,387.89","2,358.54","4.08B","-0.89%"
"07/24/2024","2,390.95","2,393.23","2,407.11","2,383.00","3.93B","-0.24%"
"07/23/2024","2,396.67","2,429.09","2,431.27","2,396.67","4.13B","-1.47%"
"07/22/2024","2,432.55","2,454.24","2,454.50","2,416.20","4.18B","-0.99%"
"07/19/2024","2,456.79","2,429.80","2,462.74","2,417.46","4.13B","0.50%"
"07/18/2024","2,444.51","2,426.34","2,446.77","2,421.49","3.48B","0.48%"
"07/17/2024","2,432.83","2,422.88","2,439.32","2,419.98","3.78B","0.33%"
"07/16/2024","2,424.75","2,412.26","2,426.59","2,406.25","3.57B","0.17%"
"07/15/2024","2,420.52","2,405.92","2,424.41","2,405.52","3.45B","0.33%"
"07/12/2024","2,412.62","2,397.73","2,414.76","2,396.53","3.82B","0.68%"
"07/11/2024","2,396.41","2,387.67","2,400.23","2,378.15","3.83B","0.61%"
"07/10/2024","2,381.83","2,378.80","2,392.88","2,378.54","3.48B","-0.32%"
"07/09/2024","2,389.38","2,365.93","2,396.18","2,352.77","3.75B","0.75%"
"07/08/2024","2,371.69","2,375.68","2,387.89","2,368.17","3.56B","-0.60%"
"07/05/2024","2,386.00","2,405.61","2,411.93","2,367.02","3.94B","-0.91%"
"07/04/2024","2,407.90","2,417.28","2,428.94","2,407.13","3.05B","-0.29%"
"07/03/2024","2,414.87","2,417.18","2,421.08","2,405.84","3.30B","-0.08%"
"07/02/2024","2,416.68","2,400.17","2,421.75","2,399.52","3.69B","0.47%"
"07/01/2024","2,405.47","2,395.20","2,407.05","2,387.62","3.63B","0.44%"
"06/28/2024","2,394.87","2,382.12","2,406.36","2,381.39","3.99B","0.26%"
"06/27/2024","2,388.56","2,391.69","2,395.81","2,376.66","3.70B","-0.40%"
"06/26/2024","2,398.26","2,388.50","2,404.46","2,383.15","2.99B","0.17%"
"06/25/2024","2,394.22","2,403.73","2,410.14","2,384.20","3.49B","-0.41%"
"06/24/2024","2,404.08","2,383.87","2,418.92","2,381.28","3.47B","0.21%"
"06/21/2024","2,398.96","2,406.22","2,411.53","2,386.48","3.32B","-0.39%"
"06/20/2024","2,408.34","2,413.39","2,422.70","2,405.40","3.20B","-0.23%"
"06/19/2024","2,413.97","2,410.47","2,418.74","2,402.96","3.28B","-0.06%"
"06/18/2024","2,415.43","2,412.55","2,424.93","2,408.29","3.53B","-0.04%"
"06/17/2024","2,416.34","2,412.09","2,418.94","2,408.87","3.75B","-0.42%"
"06/14/2024","2,426.51","2,405.79","2,433.05","2,399.99","4.13B","0.60%"
"06/13/2024","2,412.07","2,425.92","2,426.33","2,406.99","3.09B","-0.48%"
"06/12/2024","2,423.61","2,420.90","2,427.84","2,412.99","3.79B","0.00%"
"06/11/2024","2,423.62","2,444.55","2,449.65","2,415.11","4.14B","-1.37%"
"06/07/2024","2,457.26","2,473.17","2,476.46","2,444.93","3.64B","-0.43%"
"06/06/2024","2,467.89","2,474.23","2,492.05","2,462.13","3.69B","-0.01%"
"06/05/2024","2,468.19","2,477.31","2,483.33","2,467.46","2.95B","-0.61%"
"06/04/2024","2,483.32","2,465.61","2,488.75","2,462.67","3.19B","0.58%"
"06/03/2024","2,469.02","2,461.35","2,476.80","2,454.98","3.29B","0.28%"
"05/31/2024","2,462.18","2,480.21","2,487.13","2,462.18","2.86B","-0.47%"
"05/30/2024","2,473.76","2,488.32","2,500.31","2,468.26","3.43B","-0.78%"
"05/29/2024","2,493.17","2,489.52","2,510.07","2,486.58","3.18B","0.12%"
"05/28/2024","2,490.16","2,498.03","2,505.79","2,486.10","3.30B","-0.30%"
"05/27/2024","2,497.60","2,478.26","2,500.11","2,478.26","3.58B","0.94%"
